conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,processed_text,spam_classification,confidence_score,spam_indicators,spam_reason,full_analysis
1960129945340166460,Mon Aug 25 23:59:31 +0000 2025,1,Quote Selasa Pagii Demo lahir ketika kata-kata di meja sudah kehilangan makna. Ia jadi jalan terakhir rakyat untuk bicara. Ironinya yang sering ditangkap justru suaranya bukan masalah yang melahirkannya. . Gedung DPR RI #Demo Negara #lilinkecil #kutipanbijak,1960129945340166460,,,in,,0,0,0,https://x.com/undefined/status/1960129945340166460,1929704901464281094,,Quote Selasa Pagii Demo lahir ketika kata-kata di meja sudah kehilangan makna. Ia jadi jalan terakhir rakyat untuk bicara. Ironinya yang sering ditangkap justru suaranya bukan masalah yang melahirkannya. . Gedung DPR RI #Demo Negara #lilinkecil #kutipanbijak,Not Spam,1,['1. Percakapan normal/diskusi'],"The tweet appears to be a philosophical quote or reflection, discussing the loss of meaning in words and the irony of people's speech. It does not contain any suspicious links, excessive punctuation, all caps, requests for personal information, unrealistic offers, duplicated content, extreme clickbait, irrelevant promotions, or common spam keywords. The use of Indonesian language and cultural references (#Demo Negara, #lilinkecil, #kutipanbijak) further suggests it is not a spam message but a commentary or quote related to current events or social issues in Indonesia.","KLASIFIKASI: Not Spam
SKOR: 1
INDIKATOR: 1. Percakapan normal/diskusi
ALASAN: The tweet appears to be a philosophical quote or reflection, discussing the loss of meaning in words and the irony of people's speech. It does not contain any suspicious links, excessive punctuation, all caps, requests for personal information, unrealistic offers, duplicated content, extreme clickbait, irrelevant promotions, or common spam keywords. The use of Indonesian language and cultural references (#Demo Negara, #lilinkecil, #kutipanbijak) further suggests it is not a spam message but a commentary or quote related to current events or social issues in Indonesia."
1960013064188891202,Mon Aug 25 23:59:26 +0000 2025,0,@randomable_ Yang mulia Ibu @puanmaharani_ri katanya pintu terbuka ehh tertutup masih takut pula bertemu ma rakyatnya malah minta pulang cepet @DPR_RI,1960129926398706069,,randomable_,in,,0,0,0,https://x.com/undefined/status/1960129926398706069,1829493866522963968,,@randomable_ Yang mulia Ibu @puanmaharani_ri katanya pintu terbuka ehh tertutup masih takut pula bertemu ma rakyatnya malah minta pulang cepet @DPR_RI,Not Spam,10,"['1. Percakapan normal/diskusi, 2. Sharing berita/informasi faktual, 3. Interaksi sosial normal']","The tweet appears to be a normal conversation or discussion, sharing information about a news event (a door opening and closing for a public figure). It does not contain any suspicious links, excessive punctuation, all caps, requests for personal information, unrealistic offers, duplicate content, extreme clickbait, irrelevant promotions, or common spam keywords. The tweet is an interaction between users discussing a public figure's actions, which aligns with the criteria for not being spam.","KLASIFIKASI: Not Spam
SKOR: 10
INDIKATOR: 1. Percakapan normal/diskusi, 2. Sharing berita/informasi faktual, 3. Interaksi sosial normal
ALASAN: The tweet appears to be a normal conversation or discussion, sharing information about a news event (a door opening and closing for a public figure). It does not contain any suspicious links, excessive punctuation, all caps, requests for personal information, unrealistic offers, duplicate content, extreme clickbait, irrelevant promotions, or common spam keywords. The tweet is an interaction between users discussing a public figure's actions, which aligns with the criteria for not being spam."
1960129800074650025,Mon Aug 25 23:58:56 +0000 2025,0,senin arhan malam azizah salsha pagii #dood #Super1MViews Liverpool Gedung DPR RI #demo #zonauang Bu guru salsa https://t.co/Z7LbXcnafY Sri Ayu Tarisa https://t.co/0UcxfjMQz1 Pamela Safitri https://t.co/JjmwHZX8LL MeiMei Chan exc https://t.co/QcpGPsCFuj https://t.co/wsynTJXpC0,1960129800074650025,https://pbs.twimg.com/media/GzPHpKwbkAAW8fX.jpg,,in,,0,0,0,https://x.com/undefined/status/1960129800074650025,1949429767339716608,,senin arhan malam azizah salsha pagii #dood #Super1MViews Liverpool Gedung DPR RI #demo #zonauang Bu guru salsa https://t.co/Z7LbXcnafY Sri Ayu Tarisa https://t.co/0UcxfjMQz1 Pamela Safitri https://t.co/JjmwHZX8LL MeiMei Chan exc https://t.co/QcpGPsCFuj https://t.co/wsynTJXpC0,Spam,7,"['1, 2, 8']","1. URL/Link mencurigakan: Tweet mengandung beberapa link (bit.ly) tanpa konteks yang jelas tentang apa yang akan diperoleh setelah mengklik.

2. Clickbait extreme: Pada tweet ini, ada urutan link dengan judul seperti ""Sri Ayu Tarisa"", ""Pamela Safitri"", dan ""MeiMei Chan exc"" tanpa konteks yang menjelaskan apa mereka atau apa yang diberikan. Ini menarik perhatian dengan cara yang berlebihan tanpa memberikan konteks yang relevan.

3. Promosi tanpa konteks yang relevan: Tweet ini menggabungkan berbagai nama dan link tanpa konteks yang jelas mengenai apa yang diberikan. Dengan beberapa kata-kata hashtag yang tidak berkaitan dengan konten (misalnya, #dood, #Super1MViews, #demo), tweet ini terlihat seperti promosi yang tidak terkait dengan konten yang diberikan.

Dalam hal ini, tweet ini diklasifikasikan sebagai spam karena mengandung link tanpa konteks, promosi berlebihan tanpa konteks relevan, dan gaya yang menarik perhatian dengan cara yang berlebihan tanpa memberikan informasi yang bernilai.","KLASIFIKASI: Spam
SKOR: 7
INDIKATOR: 1, 2, 8
ALASAN:

1. URL/Link mencurigakan: Tweet mengandung beberapa link (bit.ly) tanpa konteks yang jelas tentang apa yang akan diperoleh setelah mengklik.

2. Clickbait extreme: Pada tweet ini, ada urutan link dengan judul seperti ""Sri Ayu Tarisa"", ""Pamela Safitri"", dan ""MeiMei Chan exc"" tanpa konteks yang menjelaskan apa mereka atau apa yang diberikan. Ini menarik perhatian dengan cara yang berlebihan tanpa memberikan konteks yang relevan.

3. Promosi tanpa konteks yang relevan: Tweet ini menggabungkan berbagai nama dan link tanpa konteks yang jelas mengenai apa yang diberikan. Dengan beberapa kata-kata hashtag yang tidak berkaitan dengan konten (misalnya, #dood, #Super1MViews, #demo), tweet ini terlihat seperti promosi yang tidak terkait dengan konten yang diberikan.

Dalam hal ini, tweet ini diklasifikasikan sebagai spam karena mengandung link tanpa konteks, promosi berlebihan tanpa konteks relevan, dan gaya yang menarik perhatian dengan cara yang berlebihan tanpa memberikan informasi yang bernilai."
1960129767551951244,Mon Aug 25 23:58:48 +0000 2025,28,Kpd Yth Ibu Ketua DPR RI @puanmaharani_ri mohon terima perwakilan pendemo Mereka datang untuk curhat kpd wakil mereka (rakyat) di gedung rakyat Jangan biarkan kekecewaan meliarkan rasa... Pahamilah beban penderitaan rakyat agungkan &amp; muliakanlah rakyat 🇮🇩 @DPR_RI https://t.co/0iDuN2xVch,1960129767551951244,https://pbs.twimg.com/ext_tw_video_thumb/1960129180974317568/pu/img/l8IvYXySupH7WmHn.jpg,,in,,3,13,10,https://x.com/undefined/status/1960129767551951244,1189039138835554304,,Kpd Yth Ibu Ketua DPR RI @puanmaharani_ri mohon terima perwakilan pendemo Mereka datang untuk curhat kpd wakil mereka (rakyat) di gedung rakyat Jangan biarkan kekecewaan meliarkan rasa... Pahamilah beban penderitaan rakyat agungkan &amp; muliakanlah rakyat 🇮🇩 @DPR_RI https://t.co/0iDuN2xVch,Not Spam,1,"['1. Percakapan normal/diskusi, 2. Sharing berita/informasi faktual, 3. Interaksi sosial normal']","The tweet is a formal request addressed to a specific individual, which is a form of normal discourse (1). It shares information about a group's intention to meet with their representative, which can be considered as sharing news or factual information (2). The interaction is also normal, as it is a public appeal to a public figure (3). There are no indications of spam such as excessive punctuation, all caps, requests for personal information, or promotional language. The tweet does not contain suspicious links, and it does not appear to be a duplicate or template message. The content is relevant to the context of political representation and public concern, and it does not contain common spam keywords.","KLASIFIKASI: Not Spam
SKOR: 1
INDIKATOR: 1. Percakapan normal/diskusi, 2. Sharing berita/informasi faktual, 3. Interaksi sosial normal
ALASAN: The tweet is a formal request addressed to a specific individual, which is a form of normal discourse (1). It shares information about a group's intention to meet with their representative, which can be considered as sharing news or factual information (2). The interaction is also normal, as it is a public appeal to a public figure (3). There are no indications of spam such as excessive punctuation, all caps, requests for personal information, or promotional language. The tweet does not contain suspicious links, and it does not appear to be a duplicate or template message. The content is relevant to the context of political representation and public concern, and it does not contain common spam keywords."
1959491215453467087,Mon Aug 25 23:58:42 +0000 2025,0,@TiniAltinsoy @antmanGL @neohistoria_id @DPR_RI Menjabat 5 tahun dapat pensiun seumur hidup enak banget itu hapus pensiun seumur hidup juga,1960129740922319102,,TiniAltinsoy,in,,0,0,0,https://x.com/undefined/status/1960129740922319102,269796718,,@TiniAltinsoy @antmanGL @neohistoria_id @DPR_RI Menjabat 5 tahun dapat pensiun seumur hidup enak banget itu hapus pensiun seumur hidup juga,Spam,7,"['1 (Menyisihkan konten yang tidak relevan dengan konteks dan menggunakan kata ""hapus""), 8 (Penggunaan clickbait dengan ""jadi hapus juga"")']","Tweet ini diklasifikasikan sebagai spam karena menggunakan ungkapan yang tidak relevan dengan konteks dan menggunakan strategi clickbait. Penggunaan kata ""hapus"" tanpa konteks yang jelas dan menunjukkan keinginan untuk menghapus sesuatu tanpa penjelasan yang jelas terdengar seperti taktik untuk mencapai respons tanpa konten yang bermanfaat. Ini tidak menjadi percakapan normal, sharing informasi faktual, opini pribadi yang wajar, atau konten edukatif. Sebaliknya, ini terlihat seperti usaha untuk mencapai respons dengan menggunakan ungkapan yang menarik perhatian tanpa memberikan konten yang berharga.","KLASIFIKASI: Spam
SKOR: 7
INDIKATOR: 1 (Menyisihkan konten yang tidak relevan dengan konteks dan menggunakan kata ""hapus""), 8 (Penggunaan clickbait dengan ""jadi hapus juga"")
ALASAN: Tweet ini diklasifikasikan sebagai spam karena menggunakan ungkapan yang tidak relevan dengan konteks dan menggunakan strategi clickbait. Penggunaan kata ""hapus"" tanpa konteks yang jelas dan menunjukkan keinginan untuk menghapus sesuatu tanpa penjelasan yang jelas terdengar seperti taktik untuk mencapai respons tanpa konten yang bermanfaat. Ini tidak menjadi percakapan normal, sharing informasi faktual, opini pribadi yang wajar, atau konten edukatif. Sebaliknya, ini terlihat seperti usaha untuk mencapai respons dengan menggunakan ungkapan yang menarik perhatian tanpa memberikan konten yang berharga."
1960129650996482049,Mon Aug 25 23:58:20 +0000 2025,4,Inikah yang ada di senayan @DPR_RI @Gerindra @FPKSDPRRI @PDemokrat @DPP_PKB @fahiraidris @PDI_Perjuangan,1960129650996482049,,,in,,0,0,1,https://x.com/undefined/status/1960129650996482049,1702329466612219904,,Inikah yang ada di senayan @DPR_RI @Gerindra @FPKSDPRRI @PDemokrat @DPP_PKB @fahiraidris @PDI_Perjuangan,Not Spam,1,['1. Percakapan normal/diskusi'],"The tweet does not exhibit any characteristics of spam as per the provided criteria. It appears to be a discussion or inquiry directed towards several political entities and individuals, using the @ symbol to tag them. There are no suspicious URLs, excessive punctuation, capitalization, or requests for personal information. The content does not seem to be a promotion, clickbait, or an unrealistic offer. It does not contain common spam keywords and does not appear to be a duplicate or template message. The tweet seems to be a normal interaction or sharing of information within a social or political context.","KLASIFIKASI: Not Spam
SKOR: 1
INDIKATOR: 1. Percakapan normal/diskusi
ALASAN: The tweet does not exhibit any characteristics of spam as per the provided criteria. It appears to be a discussion or inquiry directed towards several political entities and individuals, using the @ symbol to tag them. There are no suspicious URLs, excessive punctuation, capitalization, or requests for personal information. The content does not seem to be a promotion, clickbait, or an unrealistic offer. It does not contain common spam keywords and does not appear to be a duplicate or template message. The tweet seems to be a normal interaction or sharing of information within a social or political context."
1960129631887245357,Mon Aug 25 23:58:16 +0000 2025,26,Selain protes thdp tunjangan rumah tunjangan pajak bagi anggota DPR menjadi sebab #Demo di Gedung DPR RI. Ini loh jenis pajak di Indonesia yang harus dibayar oleh rakyat Tapi anggota DPR justru pajaknya ditanggung negara lewat pemberian tunjangan PPh. https://t.co/P8RH63rjk0 https://t.co/nDV9ZXsnXj,1960129631887245357,https://pbs.twimg.com/media/GzPHgveb0AA38JQ.jpg,,in,,0,1,9,https://x.com/undefined/status/1960129631887245357,1399321722243870721,,Selain protes thdp tunjangan rumah tunjangan pajak bagi anggota DPR menjadi sebab #Demo di Gedung DPR RI. Ini loh jenis pajak di Indonesia yang harus dibayar oleh rakyat Tapi anggota DPR justru pajaknya ditanggung negara lewat pemberian tunjangan PPh. https://t.co/P8RH63rjk0 https://t.co/nDV9ZXsnXj,Not Spam,1,"['1. Percakapan normal/diskusi, 2. Sharing berita/informasi faktual, 3. Konten edukatif']","The tweet discusses a political issue regarding taxation in Indonesia, sharing factual information and engaging in a form of public discourse. It does not contain any suspicious URLs, excessive punctuation, all caps, requests for personal information, or overly enticing offers. Instead, it provides a link to an article (t.co links are generally considered safe as they are shortened by Twitter) that likely supports the claim made in the tweet. The content is educational as it informs the reader about a specific tax-related matter in Indonesia. Therefore, it does not meet the criteria for spam.","KLASIFIKASI: Not Spam
SKOR: 1
INDIKATOR: 1. Percakapan normal/diskusi, 2. Sharing berita/informasi faktual, 3. Konten edukatif
ALASAN: The tweet discusses a political issue regarding taxation in Indonesia, sharing factual information and engaging in a form of public discourse. It does not contain any suspicious URLs, excessive punctuation, all caps, requests for personal information, or overly enticing offers. Instead, it provides a link to an article (t.co links are generally considered safe as they are shortened by Twitter) that likely supports the claim made in the tweet. The content is educational as it informs the reader about a specific tax-related matter in Indonesia. Therefore, it does not meet the criteria for spam."
1959927299719266305,Mon Aug 25 23:57:36 +0000 2025,0,@somexthread @puanmaharani_ri katanya pintu DPR terbuka lebar. Ini perwakilan rakyat mau masuk g boleh Bu. Jangan malu in Soekarno lah bohong gitu,1960129462760268134,,somexthread,in,,0,0,0,https://x.com/undefined/status/1960129462760268134,138663918,,@somexthread @puanmaharani_ri katanya pintu DPR terbuka lebar. Ini perwakilan rakyat mau masuk g boleh Bu. Jangan malu in Soekarno lah bohong gitu,Not Spam,1,['1. Percakapan normal/diskusi'],"The tweet appears to be a normal conversation or discussion between two users (@somexthread and @puanmaharani_ri) regarding a statement made about the DPR's open door policy. There are no indications of spam such as excessive punctuation, all caps, requests for personal information, or promotional language. The content seems to be sharing an opinion based on a statement made by someone else, which aligns with the ""Opini pribadi yang wajar"" (reasonable personal opinion) criterion for not being spam.","KLASIFIKASI: Not Spam
SKOR: 1
INDIKATOR: 1. Percakapan normal/diskusi
ALASAN: The tweet appears to be a normal conversation or discussion between two users (@somexthread and @puanmaharani_ri) regarding a statement made about the DPR's open door policy. There are no indications of spam such as excessive punctuation, all caps, requests for personal information, or promotional language. The content seems to be sharing an opinion based on a statement made by someone else, which aligns with the ""Opini pribadi yang wajar"" (reasonable personal opinion) criterion for not being spam."
1960128248672891188,Mon Aug 25 23:56:20 +0000 2025,6,@Yoechan_ @DolfieOtay @baronko_cole @b3l4h4nh4t1ku_ @TukuQ_86300 @A5l1n9_4la_m_ @ArdieSuhardi321 @OktermanLkmn @se_raden997370 @PahetKopi28207 @FreeStranger13 @DPR_RI #DesakPrabowoBubarkanDPR #DesakPrabowoBubarkanDPR @secr3thm4nz56 @4nw4r__84 @C1ntaT4nahA1r3_ @Anto1157 @perangutan23 @Udinsam_dua @Darmara02177184 @sampalle @bale_imut @Al355555 @Nunutuswatun 2. Koleksi motor Ducati dan vespa noel bikin melongo https://t.co/RCoQ4F3kod,1960129146342019242,https://pbs.twimg.com/media/GzPHEM1b0AA94OY.jpg,BelengBeleng687,in,,0,1,6,https://x.com/undefined/status/1960129146342019242,1629061896816177152,,@Yoechan_ @DolfieOtay @baronko_cole @b3l4h4nh4t1ku_ @TukuQ_86300 @A5l1n9_4la_m_ @ArdieSuhardi321 @OktermanLkmn @se_raden997370 @PahetKopi28207 @FreeStranger13 @DPR_RI #DesakPrabowoBubarkanDPR #DesakPrabowoBubarkanDPR @secr3thm4nz56 @4nw4r__84 @C1ntaT4nahA1r3_ @Anto1157 @perangutan23 @Udinsam_dua @Darmara02177184 @sampalle @bale_imut @Al355555 @Nunutuswatun 2. Koleksi motor Ducati dan vespa noel bikin melongo https://t.co/RCoQ4F3kod,Spam,8,"['1, 2, 8']","1. URL/Link mencurigakan: The tweet contains a shortened link (https://t.co/RCoQ4F3kod) which is a common tactic used in spam to hide the actual destination.

2. Promosi berlebihan: The tweet promotes a collection of Ducati and Vespa motorbikes as ""making one speechless,"" which can be seen as an exaggerated sales pitch.

3. Clickbait extreme: The hashtag ""#DesakPrabowoBubarkanDPR"" seems unrelated to the content of the tweet and appears to be used merely to attract attention, which is a clickbait tactic.

The tweet is classified as spam due to the presence of a suspicious shortened link, an exaggerated promotion, and the use of unrelated hashtags for attention-grabbing purposes. The score of 8 reflects a high likelihood of being spam based on these criteria.","KLASIFIKASI: Spam
SKOR: 8
INDIKATOR: 1, 2, 8
ALASAN:

1. URL/Link mencurigakan: The tweet contains a shortened link (https://t.co/RCoQ4F3kod) which is a common tactic used in spam to hide the actual destination.

2. Promosi berlebihan: The tweet promotes a collection of Ducati and Vespa motorbikes as ""making one speechless,"" which can be seen as an exaggerated sales pitch.

3. Clickbait extreme: The hashtag ""#DesakPrabowoBubarkanDPR"" seems unrelated to the content of the tweet and appears to be used merely to attract attention, which is a clickbait tactic.

The tweet is classified as spam due to the presence of a suspicious shortened link, an exaggerated promotion, and the use of unrelated hashtags for attention-grabbing purposes. The score of 8 reflects a high likelihood of being spam based on these criteria."
1960129030977712628,Mon Aug 25 23:55:53 +0000 2025,25,Nah ️ Berubahlah @DPR_RI ‼️ https://t.co/yj28ZOfvkY,1960129030977712628,https://pbs.twimg.com/media/GzPG9hja0AAd_qV.jpg,,in,,1,0,16,https://x.com/undefined/status/1960129030977712628,1383750727575605257,,Nah ️ Berubahlah @DPR_RI ‼️ https://t.co/yj28ZOfvkY,Spam,7,"['1 (URL/Link mencurigakan), 8 (Clickbait extreme)']","The tweet contains a shortened URL (https://t.co/yj28ZOfvkY) which is a common spam indicator as it conceals the actual destination. Additionally, the use of ""Nah ️ Berubahlah @DPR_RI ‼️"" can be considered clickbait extreme with the use of an exclamation mark to entice clicks. The tweet does not provide clear context about the link's content, making it suspicious. It does not fit the criteria for normal conversation, sharing factual news, or personal updates, further supporting its classification as spam.","KLASIFIKASI: Spam
SKOR: 7
INDIKATOR: 1 (URL/Link mencurigakan), 8 (Clickbait extreme)
ALASAN: The tweet contains a shortened URL (https://t.co/yj28ZOfvkY) which is a common spam indicator as it conceals the actual destination. Additionally, the use of ""Nah ️ Berubahlah @DPR_RI ‼️"" can be considered clickbait extreme with the use of an exclamation mark to entice clicks. The tweet does not provide clear context about the link's content, making it suspicious. It does not fit the criteria for normal conversation, sharing factual news, or personal updates, further supporting its classification as spam."
